OBJECTID,Elevation,Slope,Aspect,坡高,斜坡形态,地形表面纹理,TRI,地形位置指数,地形表面凸率,地形汇聚指数,相对坡位,平面曲率,剖面曲率,Curvature,River,流域面积,流路长度,地形湿度指数,河谷深度,流域坡度,河流强度指数 ,距河网垂直距离,Lithology,斜坡结构,NDVI,NDWI,Rainfall,Earthquake,NDBI,class
191,389.382979,12.034049,284.62217,70.487955,4.553191,0.591214,4.47923,0.897067,0.503524,3.917778,0.636191,0.023178,-0.082453,0.105631,679.103919,4729.435546,260.663811,11.921001,13.067599,0.164062,-65306.49578,-3.915586,2,5,0.724291,0.318212,1148.323608,2.061077,-0.314627,0
187,383.654545,9.401973,139.218654,20.618917,3.272727,0.68655,3.588176,-1.615233,0.515802,-7.869682,0.420518,-0.11369,0.077851,-0.191541,1264.296844,5424.101946,213.544928,12.33361,8.487612,0.151566,-9512.534147,56.534658,2,6,0.685342,0.290047,1146.794556,1.930427,-0.288229,0
194,391.486486,10.925646,246.54031,20.738694,4.162162,0.663569,4.151509,0.516435,0.485804,-0.304366,0.371037,0.033084,0.01672,0.016363,1195.776862,3039.21758,205.01657,12.303379,9.001157,0.165568,-580.708676,64.178779,2,5,0.676476,0.261538,1146.870117,1.921661,-0.266243,0
198,186.055762,11.004697,248.517781,30.944418,4.217472,0.657254,4.105731,0.406058,0.464344,1.719465,0.492295,0.036335,-0.004628,0.040963,323.182155,9564.255308,523.135348,11.906275,30.410412,0.199425,850.158141,91.676932,2,5,0.546803,0.32372,1147.877319,2.008002,-0.316418,1
189,327.822917,7.664277,242.076565,22.977879,4.541667,0.677511,3.057254,1.10107,0.49494,5.270249,0.557726,0.046154,-0.174581,0.220735,1158.411928,3721.56372,117.330071,11.4908,6.332927,0.12413,2157.172027,36.454557,2,7,0.656038,0.278583,1147.072021,1.972102,-0.279018,0
192,382.068966,13.3794,253.480137,31.681129,4.586207,0.638529,5.135175,2.164958,0.475797,9.198725,0.593353,0.107126,-0.11835,0.225476,1197.689658,3426.944203,158.055058,11.175051,12.975954,0.191084,-402.590897,37.795717,2,6,0.666529,0.246658,1146.917236,1.954074,-0.255722,0
167,254.198675,11.359658,198.620813,16.292327,3.759382,0.658742,4.280948,-0.542748,0.448869,-1.672972,0.476308,-0.00288,0.043898,-0.048382,675.607562,19526.01209,294.886658,11.924169,26.579664,0.190339,23612.45505,62.973543,2,7,0.644005,0.266372,1147.799561,2.004964,-0.263687,1
208,320.837294,16.489453,83.244736,38.79393,3.601463,0.58062,6.226619,-0.508326,0.447073,-1.727351,0.497023,-0.059855,-0.013147,-0.046709,659.313102,16986.78526,406.782565,12.331442,43.710968,0.255536,19725.00042,22.151914,2,7,0.71676,0.296376,1149.807861,2.070706,-0.298267,0
207,365.092308,12.539127,259.717386,22.349113,5.223077,0.457802,4.79162,-0.244549,0.367532,2.175285,0.513674,0.071514,-0.010454,0.081968,951.408526,4213.525543,199.652458,11.343934,10.962222,0.20109,84870.10837,-8.801093,2,7,0.66217,0.281071,1149.775146,2.072927,-0.279069,0
201,204.254464,16.17953,288.426653,42.084483,4.53125,0.621705,6.257253,1.025579,0.4752,2.485531,0.490175,0.074495,-0.030917,0.105412,203.064279,7388.503804,533.532099,11.673017,25.967427,0.213737,-6571.03051,83.671865,2,5,0.551746,0.314126,1148.574829,2.041867,-0.310829,0
218,161.388889,12.131304,160.671308,17.632111,6.222222,0.753242,4.701415,4.638138,0.4483,12.913508,0.519281,0.191179,-0.373902,0.565082,34.188293,1649.019562,96.426362,10.904172,5.739912,0.157958,-861.90129,125.447801,2,3,0.673142,0.321862,1149.793213,2.056689,-0.326194,0
211,153.826087,10.797516,186.791877,9.793422,5.478261,0.728432,3.911087,3.253819,0.42573,13.230632,0.328591,0.137567,-0.346789,0.484356,45.597601,1377.217795,62.569317,9.204399,21.798895,0.132605,3542.608586,136.068691,2,5,0.506539,0.27059,1149.688354,2.038954,-0.277376,0
215,156.736842,6.627091,124.439638,6.197554,4.052632,0.698157,2.394263,-0.044097,0.422049,10.096344,0.858908,-0.078557,-0.237884,0.159328,47.180017,4136.648659,515.598205,11.317655,94.33999,0.093894,-1274.002922,133.914811,2,7,0.333541,0.216477,1150.0271,2.027674,-0.223025,0
225,260.512146,15.063729,243.305964,29.301691,4.115385,0.651618,5.764483,0.176141,0.469377,0.948822,0.501595,0.009665,-0.017053,0.026718,282.880491,7323.537988,327.749353,11.720061,28.851752,0.222768,1874.542928,99.770714,2,5,0.709075,0.280481,1149.593384,2.075897,-0.281192,0
227,149.697674,5.689938,241.532478,11.223213,5.418605,0.701783,2.256509,1.830295,0.442667,17.313583,0.272572,0.209079,-0.179532,0.388611,60.116024,1621.794141,327.723978,10.706419,21.283333,0.087207,-2388.227756,144.065274,2,5,-0.247919,0.533582,1150.022949,2.075904,-0.524954,0
210,251.166355,18.377398,151.221149,38.28584,4.297196,0.501731,7.054378,0.586916,0.488169,0.525213,0.477718,0.040983,-0.001115,0.042098,190.6346,6867.984935,368.506081,12.022205,29.905312,0.281522,4012.412942,59.389573,2,3,0.756229,0.30595,1150.143311,2.075904,-0.304921,0
220,186.055556,11.798664,190.472969,6.707928,2.277778,0.595163,4.744218,-5.510511,0.38293,-19.657962,0.713144,-0.0171,0.595072,-0.612172,85.328498,12399.88013,564.81742,13.831553,44.42611,0.326905,-12610.64141,143.896094,2,5,0.723563,0.295327,1149.478882,2.074145,-0.292045,0
221,225.933333,8.194133,192.27857,3.949144,2.266667,0.653628,3.269356,-3.596396,0.499264,-3.848804,0.844492,0.045953,-0.099353,0.145307,74.278225,11029.5986,441.418978,12.755323,51.043378,0.180217,49.502539,162.623897,2,5,0.753163,0.279646,1149.421875,2.054235,-0.278896,0
239,216.897959,10.432245,189.378996,27.909902,4.089796,0.685521,3.928297,0.221125,0.478304,1.227165,0.418072,0.017426,-0.012476,0.030396,332.794439,7039.60148,468.341942,11.958077,20.877141,0.172765,5584.747826,56.590865,2,7,0.570724,0.282661,1152.042114,2.056607,-0.283661,1
224,261.619597,12.451962,271.142592,18.882942,4.011765,0.606742,4.757533,0.678771,0.430568,1.77199,0.481787,0.056762,-0.022103,0.078865,257.776221,8223.310912,248.856798,11.62754,16.983028,0.194434,3322.720713,162.959096,2,5,0.717331,0.29391,1150.195679,2.06942,-0.293848,0
